0;1;2;3;4;5;6;7;8;9;10;11;12
Ocorrência de Parada;;;;;;;;;;;;
Empresa;;Prodwin Tecnologias;;;;;;;;;;
Período;;2026-03-19 00:00:00;2026-03-19 00:00:00;;;;;;;;;
Grupo de Máquina;;ASTOLFO DUTRA;;;;;;;;;;
;;;;;;;;;;;;
Máquina;OP;Produto;Parada;Motivo Parada;Turno;Inicio;Fim;Duração;Tempo sem peso;Tempo com peso;Técnico;Complemento
78;0628002029;060200301011;999;Microparada;3O. TURNO;2026-03-19 00:05:32.297000;2026-03-19 00:05:37.513000;0:00:05.216000;0:00:00;0:00:05.216000;;
78;0628002029;060200301011;999;Microparada;3O. TURNO;2026-03-19 00:07:18.020000;2026-03-19 00:07:20.160000;0:00:02.140000;0:00:00;0:00:02.140000;;
78;0628002029;060200301011;999;Microparada;3O. TURNO;2026-03-19 00:08:59.307000;2026-03-19 00:09:08.307000;0:00:09;0:00:00;0:00:09;;
78;0628002029;060200301011;DM1007;Falha na aplicação de tampa;3O. TURNO;2026-03-19 00:09:14.220000;2026-03-19 00:09:21.900000;0:00:07.680000;0:00:00;0:00:07.680000;;
78;0628002029;060200301011;DM1032;Falha no acúmulo de garrafas;3O. TURNO;2026-03-19 00:09:28.293000;2026-03-19 00:14:27.017000;0:04:58.724000;0:00:00;0:04:58.724000;;
78;0628002029;060200301011;DM1007;Falha na aplicação de tampa;3O. TURNO;2026-03-19 00:18:41.993000;2026-03-19 00:18:46.813000;0:00:04.820000;0:00:00;0:00:04.820000;;
78;0628002029;060200301011;DM1122;Falha no sopro;3O. TURNO;2026-03-19 00:33:06.760000;2026-03-19 00:42:28.197000;0:09:21.437000;0:00:00;0:09:21.437000;;
78;0628002029;060200301011;DM1007;Falha na aplicação de tampa;3O. TURNO;2026-03-19 00:45:19.277000;2026-03-19 00:45:20.497000;0:00:01.220000;0:00:00;0:00:01.220000;;
78;0628002029;060200301011;DM1021;Falha na aplicação de rótulo;3O. TURNO;2026-03-19 00:45:32.173000;2026-03-19 00:47:50.317000;0:02:18.144000;0:00:00;0:02:18.144000;;
78;0628002029;060200301011;DM1122;Falha no sopro;3O. TURNO;2026-03-19 00:50:13.193000;2026-03-19 01:11:31.520000;0:21:18.327000;0:00:00;0:21:18.327000;;
78;0628002029;060200301011;DM1007;Falha na aplicação de tampa;3O. TURNO;2026-03-19 01:18:06.383000;2026-03-19 01:18:30.187000;0:00:23.804000;0:00:00;0:00:23.804000;;
78;0628002029;060200301011;DM1020;Falha no Transporte de Saída da Enchedora;3O. TURNO;2026-03-19 01:20:48.667000;2026-03-19 01:21:33.230000;0:00:44.563000;0:00:00;0:00:44.563000;;
78;0628002029;060200301011;DM1020;Falha no Transporte de Saída da Enchedora;3O. TURNO;2026-03-19 01:28:29.217000;2026-03-19 01:29:21.433000;0:00:52.216000;0:00:00;0:00:52.216000;;
78;0628002029;060200301011;DM1037;Falha no envolvimento do filme;3O. TURNO;2026-03-19 01:45:50.960000;2026-03-19 01:50:03.810000;0:04:12.850000;0:00:00;0:04:12.850000;;
78;0628002029;060200301011;DM1037;Falha no envolvimento do filme;3O. TURNO;2026-03-19 01:53:06.773000;2026-03-19 01:56:48.850000;0:03:42.077000;0:00:00;0:03:42.077000;;
78;0628002029;060200301011;DM1122;Falha no sopro;3O. TURNO;2026-03-19 01:59:09.943000;2026-03-19 02:11:18.520000;0:12:08.577000;0:00:00;0:12:08.577000;;
78;0628002029;060200301011;DM1037;Falha no envolvimento do filme;3O. TURNO;2026-03-19 02:24:08.770000;2026-03-19 02:28:13.007000;0:04:04.237000;0:00:00;0:04:04.237000;;
