0;1;2;3;4;5;6;7;8;9;10;11;12
Ocorrência de Parada;;;;;;;;;;;;
Empresa;;Prodwin Tecnologias;;;;;;;;;;
Período;;2026-03-19 00:00:00;2026-03-19 00:00:00;;;;;;;;;
Grupo de Máquina;;ARACATI;;;;;;;;;;
;;;;;;;;;;;;
Máquina;OP;Produto;Parada;Motivo Parada;Turno;Inicio;Fim;Duração;Tempo sem peso;Tempo com peso;Técnico;Complemento
01;0602645605;070200801003;999;Microparada;3O. TURNO;2026-03-19 00:10:43.817000;2026-03-19 00:10:46.737000;0:00:02.920000;0:00:00;0:00:02.920000;;
01;0602645605;070200801003;999;Microparada;3O. TURNO;2026-03-19 00:18:46.833000;2026-03-19 00:19:23.390000;0:00:36.557000;0:00:00;0:00:36.557000;;
01;0602645605;070200801003;999;Microparada;3O. TURNO;2026-03-19 00:19:29.193000;2026-03-19 00:19:31.290000;0:00:02.097000;0:00:00;0:00:02.097000;;
01;0602645605;070200801003;999;Microparada;3O. TURNO;2026-03-19 00:20:00.387000;2026-03-19 00:20:04.417000;0:00:04.030000;0:00:00;0:00:04.030000;;
01;0602645605;070200801003;999;Microparada;3O. TURNO;2026-03-19 00:24:08.487000;2026-03-19 00:24:21.223000;0:00:12.736000;0:00:00;0:00:12.736000;;
01;0602645605;070200801003;999;Microparada;3O. TURNO;2026-03-19 00:25:28.663000;2026-03-19 00:25:29.730000;0:00:01.067000;0:00:00;0:00:01.067000;;
01;0602645605;070200801003;999;Microparada;3O. TURNO;2026-03-19 00:28:36.473000;2026-03-19 00:28:41.900000;0:00:05.427000;0:00:00;0:00:05.427000;;
01;0602645605;070200801003;999;Microparada;3O. TURNO;2026-03-19 00:29:12.677000;2026-03-19 00:29:14.200000;0:00:01.523000;0:00:00;0:00:01.523000;;
01;0602645605;070200801003;999;Microparada;3O. TURNO;2026-03-19 00:29:29.577000;2026-03-19 00:29:30.600000;0:00:01.023000;0:00:00;0:00:01.023000;;
01;0602645605;070200801003;999;Microparada;3O. TURNO;2026-03-19 00:29:58.463000;2026-03-19 00:30:01.660000;0:00:03.197000;0:00:00;0:00:03.197000;;
01;0602645605;070200801003;999;Microparada;3O. TURNO;2026-03-19 00:30:09.163000;2026-03-19 00:30:09.580000;0:00:00.417000;0:00:00;0:00:00.417000;;
01;0602645605;070200801003;999;Microparada;3O. TURNO;2026-03-19 00:31:03.950000;2026-03-19 00:31:04.423000;0:00:00.473000;0:00:00;0:00:00.473000;;
01;0602645605;070200801003;999;Microparada;3O. TURNO;2026-03-19 00:32:33.337000;2026-03-19 00:32:59.673000;0:00:26.336000;0:00:00;0:00:26.336000;;
01;0602645605;070200801003;CM1088;Falha no Transporte de Saída do Túnel de Resfriamento;3O. TURNO;2026-03-19 00:33:05.977000;2026-03-19 01:02:08.390000;0:29:02.413000;0:00:00;0:29:02.413000;;
01;0602645605;070200801003;999999999;Parada Nao Informada;3O. TURNO;2026-03-19 01:06:09.300000;2026-03-19 01:07:35.310000;0:01:26.010000;0:00:00;0:01:26.010000;;
01;0602645605;070200801003;CM1021;Falha na Aplicação de Rótulos;3O. TURNO;2026-03-19 01:07:41.110000;2026-03-19 01:08:54.817000;0:01:13.707000;0:00:00;0:01:13.707000;;
01;0602645605;070200801003;999;Microparada;3O. TURNO;2026-03-19 01:10:29.947000;2026-03-19 01:10:35.973000;0:00:06.026000;0:00:00;0:00:06.026000;;
01;0602645605;070200801003;999;Microparada;3O. TURNO;2026-03-19 01:12:26.890000;2026-03-19 01:12:31.817000;0:00:04.927000;0:00:00;0:00:04.927000;;
