0;1;2;3;4;5;6;7;8;9;10;11;12
Ocorrência de Parada;;;;;;;;;;;;
Empresa;;Prodwin Tecnologias;;;;;;;;;;
Período;;2026-03-19 00:00:00;2026-03-19 00:00:00;;;;;;;;;
Grupo de Máquina;;ARAGUARI;;;;;;;;;;
;;;;;;;;;;;;
Máquina;OP;Produto;Parada;Motivo Parada;Turno;Inicio;Fim;Duração;Tempo sem peso;Tempo com peso;Técnico;Complemento
30;0616240993;060200801005;GM4055;Falha na formação de camadas;3O. TURNO;2026-03-18 23:00:21.600000;2026-03-18 23:00:32.190000;0:00:10.590000;0:00:00;0:00:10.590000;;
30;0616240993;060200801005;GM4055;Falha na formação de camadas;3O. TURNO;2026-03-18 23:03:32.907000;2026-03-18 23:04:02.100000;0:00:29.193000;0:00:00;0:00:29.193000;;
30;0616240993;060200801005;GM4055;Falha na formação de camadas;3O. TURNO;2026-03-18 23:14:41.937000;2026-03-18 23:20:21.423000;0:05:39.486000;0:00:00;0:05:39.486000;;
30;0616240993;060200801005;GM4055;Falha na formação de camadas;3O. TURNO;2026-03-18 23:20:34.493000;2026-03-18 23:21:04.207000;0:00:29.714000;0:00:00;0:00:29.714000;;
30;0616240993;060200801005;GM4055;Falha na formação de camadas;3O. TURNO;2026-03-18 23:21:13.017000;2026-03-18 23:21:35.593000;0:00:22.576000;0:00:00;0:00:22.576000;;
30;0616240993;060200801005;GN4001;*                                   Falta de Garrafas;3O. TURNO;2026-03-18 23:24:55.860000;2026-03-18 23:25:18.360000;0:00:22.500000;0:00:22.500000;0:00:00;;
30;0616240993;060200801005;999;Microparada;3O. TURNO;2026-03-18 23:42:35.877000;2026-03-18 23:42:52.347000;0:00:16.470000;0:00:00;0:00:16.470000;;
30;0616240993;060200801005;GN4001;*                                   Falta de Garrafas;3O. TURNO;2026-03-18 23:43:01.600000;2026-03-18 23:43:11.497000;0:00:09.897000;0:00:09.897000;0:00:00;;
30;0616240993;060200801005;GN4001;*                                   Falta de Garrafas;3O. TURNO;2026-03-18 23:43:23.003000;2026-03-18 23:43:24.197000;0:00:01.194000;0:00:01.194000;0:00:00;;
30;0616240993;060200801005;GN4001;*                                   Falta de Garrafas;3O. TURNO;2026-03-18 23:59:32.373000;2026-03-19 00:00:02.267000;0:00:29.894000;0:00:29.894000;0:00:00;;
30;0616240993;060200801005;GN4001;*                                   Falta de Garrafas;3O. TURNO;2026-03-19 00:00:50.240000;2026-03-19 00:00:50.800000;0:00:00.560000;0:00:00.560000;0:00:00;;
30;0616240993;060200801005;GN4001;*                                   Falta de Garrafas;3O. TURNO;2026-03-19 00:03:32.523000;2026-03-19 00:04:01.913000;0:00:29.390000;0:00:29.390000;0:00:00;;
30;0616240993;060200801005;GN4001;*                                   Falta de Garrafas;3O. TURNO;2026-03-19 00:04:17.677000;2026-03-19 00:04:22.287000;0:00:04.610000;0:00:04.610000;0:00:00;;
30;0616240993;060200801005;GR4084;*                                  Aguardando Formulação;3O. TURNO;2026-03-19 00:12:54.233000;2026-03-19 00:15:41.947000;0:02:47.714000;0:02:47.714000;0:00:00;;
30;0616240993;060200801005;GN4001;*                                   Falta de Garrafas;3O. TURNO;2026-03-19 00:22:57.277000;2026-03-19 00:22:58.187000;0:00:00.910000;0:00:00.910000;0:00:00;;
30;0616240993;060200801005;GN4001;*                                   Falta de Garrafas;3O. TURNO;2026-03-19 00:23:31.207000;2026-03-19 00:23:38.877000;0:00:07.670000;0:00:07.670000;0:00:00;;
30;0616240993;060200801005;GN4001;*                                   Falta de Garrafas;3O. TURNO;2026-03-19 00:27:23.853000;2026-03-19 00:27:41.557000;0:00:17.704000;0:00:17.704000;0:00:00;;
30;0616240993;060200801005;GN4001;*                                   Falta de Garrafas;3O. TURNO;2026-03-19 00:28:05.007000;2026-03-19 00:28:38.987000;0:00:33.980000;0:00:33.980000;0:00:00;;
30;0616240993;060200801005;GN4001;*                                   Falta de Garrafas;3O. TURNO;2026-03-19 00:28:50.127000;2026-03-19 00:29:31.993000;0:00:41.866000;0:00:41.866000;0:00:00;;
30;0616240993;060200801005;GN4001;*                                   Falta de Garrafas;3O. TURNO;2026-03-19 00:29:49.523000;2026-03-19 00:30:11.137000;0:00:21.614000;0:00:21.614000;0:00:00;;
30;0616240993;060200801005;GN4001;*                                   Falta de Garrafas;3O. TURNO;2026-03-19 00:32:51.723000;2026-03-19 00:33:53.283000;0:01:01.560000;0:01:01.560000;0:00:00;;
30;0616240993;060200801005;GN4001;*                                   Falta de Garrafas;3O. TURNO;2026-03-19 00:50:58.780000;2026-03-19 00:51:27.290000;0:00:28.510000;0:00:28.510000;0:00:00;;
30;0616240993;060200801005;GN4001;*                                   Falta de Garrafas;3O. TURNO;2026-03-19 00:56:14.673000;2026-03-19 00:56:25.710000;0:00:11.037000;0:00:11.037000;0:00:00;;
30;0616240993;060200801005;GN4001;*                                   Falta de Garrafas;3O. TURNO;2026-03-19 01:03:07.650000;2026-03-19 01:03:27.640000;0:00:19.990000;0:00:19.990000;0:00:00;;
30;0616240993;060200801005;GN4001;*                                   Falta de Garrafas;3O. TURNO;2026-03-19 01:04:03.490000;2026-03-19 01:04:18.913000;0:00:15.423000;0:00:15.423000;0:00:00;;
30;0616240993;060200801005;GN4001;*                                   Falta de Garrafas;3O. TURNO;2026-03-19 01:04:39.287000;2026-03-19 01:04:57.647000;0:00:18.360000;0:00:18.360000;0:00:00;;
