Dia;LinhaProducao;Hora;OEE;Produto;Paradas;TempoTotalParada
14/03/2026;SIG II;22:00 - 23:00;49.54%;060100802027 - PPB MAGUARY MARACUJA 12X1000ML;GM2047 - Falha na aplicaçăo de cola da traypacker | GM2046 - Falha na Transferęncia de caixa para trilhos | GM2098 - Aguardando manutençăo mecânica | GM2042 - Falha no esquadrejamento das embalagens;0:29:47.031
14/03/2026;SIG II;23:00 - 00:00;28.83%;060100802027 - PPB MAGUARY MARACUJA 12X1000ML;GM2047 - Falha na aplicaçăo de cola da traypacker | GM2046 - Falha na Transferęncia de caixa para trilhos | GM2042 - Falha no esquadrejamento das embalagens;0:42:20.784
14/03/2026;SIG II;00:00 - 01:00;57.28%;060100802027 - PPB MAGUARY MARACUJA 12X1000ML;GM2028 - Falha na aplicaçăo de tampas | GM2042 - Falha no esquadrejamento das embalagens | GM2031 - Falha no selecionador de tampas | GM2046 - Falha na Transferęncia de caixa para trilhos | GM2047 - Falha na aplicaçăo de cola da traypacker;0:24:44.960
14/03/2026;SIG II;01:00 - 02:00;75.31%;060100802027 - PPB MAGUARY MARACUJA 12X1000ML;GM2042 - Falha no esquadrejamento das embalagens | GM2047 - Falha na aplicaçăo de cola da traypacker | GM2046 - Falha na Transferęncia de caixa para trilhos | GM2022 - Falha no Cabeçote de Saída Acumulador;0:12:10.534
14/03/2026;SIG II;02:00 - 03:00;66.15%;060100802027 - PPB MAGUARY MARACUJA 12X1000ML;GM2047 - Falha na aplicaçăo de cola da traypacker | GM2028 - Falha na aplicaçăo de tampas | GM2037 - Falha no transporte de saída da aplicadora de tampas | GE2023 - Falha no Transporte de Entrada do Aplicador de Tampas | GM2020 - Falha no Transporte Enchedora - Acumulador | GM2042 - Falha no esquadrejamento das embalagens;0:14:27.175
14/03/2026;SIG II;03:00 - 04:00;66.84%;060100802027 - PPB MAGUARY MARACUJA 12X1000ML;GM2047 - Falha na aplicaçăo de cola da traypacker | GM2042 - Falha no esquadrejamento das embalagens | GM2031 - Falha no selecionador de tampas | GM2037 - Falha no transporte de saída da aplicadora de tampas | GM2028 - Falha na aplicaçăo de tampas | GM2021 - Falha no Cabeçote de Entrada Acumulador;0:18:07.287
14/03/2026;SIG II;04:00 - 04:07;44.60%;060100802027 - PPB MAGUARY MARACUJA 12X1000ML;GM2042 - Falha no esquadrejamento das embalagens | GM2047 - Falha na aplicaçăo de cola da traypacker;0:04:06.016
14/03/2026;SIG II;04:07 - 05:00;43.78%;060100802027 - PPB MAGUARY MARACUJA 12X1000ML;GM2037 - Falha no transporte de saída da aplicadora de tampas | GM2031 - Falha no selecionador de tampas | GM2046 - Falha na Transferęncia de caixa para trilhos | GE2023 - Falha no Transporte de Entrada do Aplicador de Tampas | GM2047 - Falha na aplicaçăo de cola da traypacker | GM2042 - Falha no esquadrejamento das embalagens;0:27:46.332
14/03/2026;SIG II;05:00 - 06:00;65.63%;060100802027 - PPB MAGUARY MARACUJA 12X1000ML;GM2109 - Falha na codificaçăo secundária | GM2046 - Falha na Transferęncia de caixa para trilhos | GM2042 - Falha no esquadrejamento das embalagens | GM2047 - Falha na aplicaçăo de cola da traypacker | GM2043 - Falha no envolvimento com a caixa | GM2050 - Falha no transporte de saída da traypacker;0:20:44.552
14/03/2026;SIG II;06:00 - 07:00;65.44%;060100802027 - PPB MAGUARY MARACUJA 12X1000ML;GM2017 - Falha na Transferęncia para Esteira de saída | GM2022 - Falha no Cabeçote de Saída Acumulador | GM2031 - Falha no selecionador de tampas | GM2043 - Falha no envolvimento com a caixa | 999 - Microparada | GM2056 - Falha na Captura;0:20:30.727
14/03/2026;SIG II;07:00 - 08:00;59.03%;060100802027 - PPB MAGUARY MARACUJA 12X1000ML;GM2017 - Falha na Transferęncia para Esteira de saída | GM2056 - Falha na Captura | GM2051 - Falha no transporte de entrada de caixas do Robô;0:24:22.957
14/03/2026;SIG II;08:00 - 09:00;65.60%;060100802027 - PPB MAGUARY MARACUJA 12X1000ML;GM2017 - Falha na Transferęncia para Esteira de saída | GM2056 - Falha na Captura | GM2042 - Falha no esquadrejamento das embalagens | 999 - Microparada | GM2002 - Falha no Feeder (Alimentaçăo Roda Mandril) | GM2051 - Falha no transporte de entrada de caixas do Robô | GM2031 - Falha no selecionador de tampas;0:17:59.635
14/03/2026;SIG II;09:00 - 10:00;67.26%;060100802027 - PPB MAGUARY MARACUJA 12X1000ML;GM2057 - Falha no magazine de pallets | GM2031 - Falha no selecionador de tampas | GM2002 - Falha no Feeder (Alimentaçăo Roda Mandril) | GM2043 - Falha no envolvimento com a caixa | GM2042 - Falha no esquadrejamento das embalagens | 999 - Microparada | GM2056 - Falha na Captura;0:18:09.945
14/03/2026;SIG II;10:00 - 11:00;58.87%;060100802027 - PPB MAGUARY MARACUJA 12X1000ML;GM2057 - Falha no magazine de pallets | GM2043 - Falha no envolvimento com a caixa | GM2031 - Falha no selecionador de tampas | GM2022 - Falha no Cabeçote de Saída Acumulador | GM2002 - Falha no Feeder (Alimentaçăo Roda Mandril) | GM2028 - Falha na aplicaçăo de tampas;0:24:18.082
14/03/2026;SIG II;11:00 - 12:00;58.06%;060100802027 - PPB MAGUARY MARACUJA 12X1000ML;GZ2001 -                                   Parada por Horário de Refeiçăo | GM2043 - Falha no envolvimento com a caixa | GM2031 - Falha no selecionador de tampas | GM2057 - Falha no magazine de pallets;0:41:38.287
14/03/2026;SIG II;12:00 - 13:00;95.14%;060100802027 - PPB MAGUARY MARACUJA 12X1000ML;GZ2001 -                                   Parada por Horário de Refeiçăo | GM2002 - Falha no Feeder (Alimentaçăo Roda Mandril);0:48:32.586
14/03/2026;SIG II;13:00 - 14:00;60.12%;060100802027 - PPB MAGUARY MARACUJA 12X1000ML;GM2043 - Falha no envolvimento com a caixa | GM2031 - Falha no selecionador de tampas | 999 - Microparada | GM2056 - Falha na Captura;0:21:58.667
14/03/2026;SIG II;14:00 - 15:00;14.33%;060100802027 - PPB MAGUARY MARACUJA 12X1000ML;GM2047 - Falha na aplicaçăo de cola da traypacker | GM2057 - Falha no magazine de pallets | GM2043 - Falha no envolvimento com a caixa;0:51:18.436
14/03/2026;SIG II;15:00 - 15:04;0.00%;060100802027 - PPB MAGUARY MARACUJA 12X1000ML;GM2047 - Falha na aplicaçăo de cola da traypacker;0:04:39.710
14/03/2026;SIG III;21:00 - 22:00;65.57%;060101202088 - MAGUARY FRUIT SHOOT UVA HB 27X150ML;GM3056 - Falha na Captura | GM3040 - Falha no braço selecionador | GO3002 - Falha no Feeder (Alimentaçăo Roda Mandril) | GM3043 - Falha no envolvimento com a caixa | 999 - Microparada;0:19:18.780
14/03/2026;SIG III;22:00 - 23:00;78.48%;060101202088 - MAGUARY FRUIT SHOOT UVA HB 27X150ML;GM3040 - Falha no braço selecionador | GM3043 - Falha no envolvimento com a caixa;0:11:31.653
